,name,mission_title,hours_mission,decade_of_mission,year_of_mission,sex,year_of_birth,nationality,total_number_of_missions,total_hrs_sum
750,"Halsell, James D., Jr.",STS-74,196.0,1990,1995,male,1956,U.S.,5,1257.0
751,"Halsell, James D., Jr.",STS-83,95.0,1990,1997,male,1956,U.S.,5,1257.0
752,"Halsell, James D., Jr.",STS-94,376.0,1990,1997,male,1956,U.S.,5,1257.0
753,"Halsell, James D., Jr.",STS-101,237.0,2000,2000,male,1956,U.S.,5,1257.0
754,"Chiao, Leroy",STS-65,354.0,1990,1994,male,1960,U.S.,4,5503.0
755,"Chiao, Leroy",STS-72,214.0,1990,1996,male,1960,U.S.,4,5503.0
756,"Chiao, Leroy",STS-92,310.0,2000,2000,male,1960,U.S.,4,5503.0
757,"Chiao, Leroy",10,4627.0,2000,2004,male,1960,U.S.,4,5503.0
758,"Thomas, Donald A.",STS-65,353.0,1990,1994,male,1955,U.S.,4,1038.0
759,"Thomas, Donald A.",STS-70,214.0,1990,1995,male,1955,U.S.,4,1038.0
760,"Thomas, Donald A.",STS-83,95.0,1990,1997,male,1955,U.S.,4,1038.0
761,"Thomas, Donald A.",STS-94,376.0,1990,1997,male,1955,U.S.,4,1038.0
762,"Mukai, Chiaki",STS-65,354.0,1990,1994,female,1952,Japan,2,568.0
763,"Mukai, Chiaki",STS-95,214.0,1990,1998,female,1952,Japan,2,568.0
764,"Linenger, Jerry M.",STS-64,262.0,1990,1994,male,1955,U.S.,2,3218.83
765,"Linenger, Jerry M.",22,3172.0,1990,1997,male,1955,U.S.,2,3218.83
766,"Wilcutt, Terrence W.",STS-68,269.0,1990,1994,male,1949,U.S.,4,1008.0
767,"Wilcutt, Terrence W.",STS-79,243.0,1990,1996,male,1949,U.S.,4,1008.0
768,"Wilcutt, Terrence W.",STS-89,211.0,1990,1998,male,1949,U.S.,4,1008.0
769,"Wilcutt, Terrence W.",STS-106,283.0,2000,2000,male,1949,U.S.,4,1008.0
770,"Smith, Steven L.",STS-68,264.0,1990,1994,male,1958,U.S.,4,960.0
771,"Smith, Steven L.",STS-82,240.0,1990,1997,male,1958,U.S.,4,960.0
772,"Smith, Steven L.",STS-103,192.0,1990,1999,male,1958,U.S.,4,960.0
773,"Smith, Steven L.",STS-110,264.0,2000,2002,male,1958,U.S.,4,960.0
774,"Kondakova, Yelena V.",17,4061.0,1990,1994,female,1957,U.S.S.R/Russia,2,4282.68
775,"Kondakova, Yelena V.",23,221.0,1990,1997,female,1957,U.S.S.R/Russia,2,4282.68
776,"Tanner, Joseph R.",STS-66,262.0,1990,1994,male,1950,U.S.,4,1045.25
777,"Tanner, Joseph R.",STS-82,239.0,1990,1997,male,1950,U.S.,4,1045.25
778,"Tanner, Joseph R.",STS-97,259.0,2000,2000,male,1950,U.S.,4,1045.25
779,"Tanner, Joseph R.",STS-115,283.0,2000,2006,male,1950,U.S.,4,1045.25
780,"Clervoy, Jean-François",STS-66,263.0,1990,1994,male,1958,France,3,675.1
781,"Clervoy, Jean-François",STS-84,221.1,1990,1997,male,1958,France,3,675.1
782,"Clervoy, Jean-François",STS-103,191.0,1990,1999,male,1958,France,3,675.1
783,"Parazynski, Scott E.",STS-66,262.0,1990,1994,male,1961,U.S.,5,1379.0
784,"Parazynski, Scott E.",STS-86,259.0,1990,1997,male,1961,U.S.,5,1379.0
785,"Parazynski, Scott E.",STS-95,213.0,1990,1998,male,1961,U.S.,5,1379.0
